<<<id>>>	<<<title>>>	<<<price_pc>>>	<<<link>>>	<<<mobile_link>>>	<<<image>>>	<<<category_name1>>>	<<<category_name2>>>	<<<shipping>>>	<<<description>>>
54160	[품격][비즈니스/클래스][LH][LX]『알프스에 울려퍼진 스위스 랩소디』  스위스 완전일주 8일	10890000	https://mntour.lottetour.com/evtList/604/2091/2093?godId=54160	https://mmntour.lottetour.com/evtList/604/2091/2093?godId=54160	https://dimgcdn.lottetour.com/TN/3e/3eae05375762eb91f06ebc1b89d5a0ec.tn.300x200.jpg	여행	유럽여행	0	편안함은 비즈니스로, 감동은 알프스로 - 알프스 하이킹과 고품격 미식이 함께하는 스위스 프리미엄 패키지
64572	[품격][비즈니스/클래스][LH]『대자연이 빚은 예술의 알프스! 돌로미티 하이킹 여행』  돌로미티 완전일주 10일	13990000	https://mntour.lottetour.com/evtList/604/2091/2906?godId=64572	https://mmntour.lottetour.com/evtList/604/2091/2906?godId=64572	https://dimgcdn.lottetour.com/TN/d3/d3ae920b588caa7c3e49f6b7188f73c4.tn.300x200.jpg	여행	유럽여행	0	비즈니스 클래스 탑승으로 더욱 편안하게 오로지 돌로미티만 돌아보는 일정으로  돌로미티 5대 하이킹 및 QC 테르메 스파체험까지 특별한 이탈리아 알프스를 즐기는 상품
63116	[정통][비즈니스/클래스][TK] 『백야! 한밤의 태양을 즐겨라!』 북유럽 4개국 9일	9290000	https://mntour.lottetour.com/evtList/604/2091/2710?godId=63116	https://mmntour.lottetour.com/evtList/604/2091/2710?godId=63116	https://dimgcdn.lottetour.com/TN/c8/c82a0f544916ad9075b9e22ad4d2dde3.tn.300x200.jpg	여행	유럽여행	0	#3大 피오르 #플롬 로맨틱 열차 #발트해 크루즈 SEASIDE 객실업그레이드   #NO쇼핑&NO옵션
65443	[정통][비즈니스/클래스][TK]『아시아의 끝에서 유럽의 아침을 열다』  튀르키예 일주 10일	7190000	https://mntour.lottetour.com/evtList/604/2091/2468?godId=65443	https://mmntour.lottetour.com/evtList/604/2091/2468?godId=65443	https://dimgcdn.lottetour.com/TN/fc/fca842b5f5887e523f8d024f700d93c3.tn.300x200.jpg	여행	유럽여행	0	비즈니스 클래스 탑승 & 장거리 구간 국내선 2회로 이동의 피로함 DOWN! 편안함 속에서도 튀르키예를 완벽히 둘러볼 수 있는 상품
63149	[품격][비즈니스/클래스][TK]『비잔틴의 향기, 오스만의 품격을 느끼다』  튀르키예 일주 10일	10290000	https://mntour.lottetour.com/evtList/604/2091/2468?godId=63149	https://mmntour.lottetour.com/evtList/604/2091/2468?godId=63149	https://dimgcdn.lottetour.com/TN/fe/fe89d892c08a220b14ee074c5c09f4e9.tn.300x200.jpg	여행	유럽여행	0	이스탄불 왕복 직항 비즈니스 탑승으로 시작부터 끝까지 편안하게! 오스만 술탄의 궁전을 개조한 이스탄불 특급호텔에서의 2연박으로 완성하는 품격있는 튀르키예 여행의 정점
60710	[품격][비즈니스/클래스][TK]『아드리아海를 수놓는 매혹적인 성채도시』 크로아티아+발칸 2개국 10일	11690000	https://mntour.lottetour.com/evtList/604/2091/2709?godId=60710	https://mmntour.lottetour.com/evtList/604/2091/2709?godId=60710	https://dimgcdn.lottetour.com/TN/29/29826e448842b0b419b5155ce4255b2a.tn.300x200.jpg	여행	유럽여행	0	발칸반도 구석구석 숨겨진 매력에 반하다! NO옵션NO쇼핑 즐기는 완벽한 크로아티아 일주
51991	[정통][스위스/직항][KE]『알프스와 호수마을로 떠나는 힐링여행』 스위스 완전일주 7일	5890000	https://mntour.lottetour.com/evtList/604/2014/2019?godId=51991	https://mmntour.lottetour.com/evtList/604/2014/2019?godId=51991	https://dimgcdn.lottetour.com/TN/d9/d9ff5dab5a7de3cf8ecc187a3c414b92.tn.300x200.jpg	여행	유럽여행	0	편안함은 직항으로, 감동은 알프스로 - 대한항공 취리히 직항 탑승과 체르마트 숙박, 알프스 특식이 함께하는 패키지
58653	[품격][비즈니스/클래스][LH]『햇살 가득한 프로방스의 향기』 남프랑스 일주 8일	11390000	https://mntour.lottetour.com/evtList/604/2014/2022?godId=58653	https://mmntour.lottetour.com/evtList/604/2014/2022?godId=58653	https://dimgcdn.lottetour.com/TN/64/64067a0c291668b30a17ee488f876442.tn.300x200.jpg	여행	유럽여행	0	루프트한자 독일항공 비즈니스 탑승하여 마르세유 2박 / 니스 2박으로 여유있게! 남프랑스 대표 휴양도시 - 니스, 칸, 모나코, 마르세유, 카시스로의 여정!
63921	[정통][비즈니스/클래스][TW]『쥬뗌므(Je t'aime) 에펠탑 아래 흐르는 사랑의 멜로디』 프랑스 완전일주 7일	6890000	https://mntour.lottetour.com/evtList/604/2014/2022?godId=63921	https://mmntour.lottetour.com/evtList/604/2014/2022?godId=63921	https://dimgcdn.lottetour.com/TN/2e/2e18621528a5ebb50126eb9a28e06256.tn.300x200.jpg	여행	유럽여행	0	비즈니스 클래스의 여유로운 시작부터 루아르의 고성과 몽생미셸까지! 프랑스를 온전히 느끼는 특별한 여정
61701	[품격][비즈니스/클래스][EK]『이탈리아에서 만나는 알프스!』  돌로미티 북부이탈리아 10일	11990000	https://mntour.lottetour.com/evtList/604/2014/2017?godId=61701	https://mmntour.lottetour.com/evtList/604/2014/2017?godId=61701	https://dimgcdn.lottetour.com/TN/d5/d54065bbcc683db3952456e4b61a5921.tn.300x200.jpg	여행	유럽여행	0	신이 조각한 세계 자연유산, 이탈리아의 알프스를 정복할 수 있는 "돌로미티 북부 집중 상품"으로써 돌로미티 하이킹 3회 진행되는 매력넘치는 상품
63700	[정통][비즈니스/클래스][TW]『알프스의 심장 돌로미티! 야생화 따라 대자연을 걷다』 이탈리아 완전일주 9일	7690000	https://mntour.lottetour.com/evtList/604/2014/2016?godId=63700	https://mmntour.lottetour.com/evtList/604/2014/2016?godId=63700	https://dimgcdn.lottetour.com/TN/0a/0a7d5353cca15a1924544ee8b71b1427.tn.300x200.jpg	여행	유럽여행	0	"로마 직항 비즈니스 클래스, 로마의 휴일 같은 나만의 자유시간과 브라이에스&미주리나 호수, 돌로미티 하이킹"
64388	[정통][비즈니스/클래스][TW]『맘마미아!(Mamma mia), 산마리노와 소도시의 풍경』 이탈리아 완전일주 9일	7690000	https://mntour.lottetour.com/evtList/604/2014/2016?godId=64388	https://mmntour.lottetour.com/evtList/604/2014/2016?godId=64388	https://dimgcdn.lottetour.com/TN/20/20660ad30133d30ff782399ca09684b0.tn.300x200.jpg	여행	유럽여행	0	로마 직항 왕복 비즈니스 클래스, 로마의 휴일 같은 나만의 자유시간과 작지만 아름다운 소공국, 이탈리아 소도시여행!
59958	[품격][비즈니스/클래스][EK]『행운의 주문, 잠보! 하쿠나마타타!』 아프리카 일주 6개국 13일	19990000	https://mntour.lottetour.com/evtList/604/1048/1051?godId=59958	https://mmntour.lottetour.com/evtList/604/1048/1051?godId=59958	https://dimgcdn.lottetour.com/TN/b9/b90b7ff41359befb6cc738d1a5007a9e.tn.300x200.jpg	여행	유럽여행	0	비즈니스 클래스 탑승으로 더욱 편안하게 케냐부터 남아공까지 깔끔한 일정으로 롯지 숙박 및 5성급 호텔 3연박까지 특별한 아프리카 사파리 투어를 즐기는 상품
60052	[정통][비즈니스/클래스][TK]『Golden Kingdom! 파라오의 황금빛 제국』  이집트 항공일주 9일	8690000	https://mntour.lottetour.com/evtList/604/1048/1052?godId=60052	https://mmntour.lottetour.com/evtList/604/1048/1052?godId=60052	https://dimgcdn.lottetour.com/TN/30/30a3ddb61793242d5114874c2b2f714d.tn.300x200.jpg	여행	유럽여행	0	전 일정 5성 특급 호텔 숙박, 파노라마 View 레스토랑까지 즐기는 이집트 여행
63772	[품격][비즈니스/클래스][EK]『스핑크스가 들려주는 고대이야기』  이집트 항공일주 10일	11490000	https://mntour.lottetour.com/evtList/604/1048/1052?godId=63772	https://mmntour.lottetour.com/evtList/604/1048/1052?godId=63772	https://dimgcdn.lottetour.com/TN/bc/bc5684799765015b8274515a129c9aba.tn.300x200.jpg	여행	유럽여행	0	전 구간 비즈니스 클래스와 국내선 항공 2회 이용, 전 일정 월드체인 특급 호텔과 함께하는 이집트 여행
64125	[품격][비즈니스/클래스][EK]『피라미드에서 시작된 전설, 페트라에서 완성되다』  이집트&요르단 13일	13790000	https://mntour.lottetour.com/evtList/604/1048/4372?godId=64125	https://mmntour.lottetour.com/evtList/604/1048/4372?godId=64125	https://dimgcdn.lottetour.com/TN/b3/b34c27d82e4c831bfe7c2a9fccc8bfab.tn.300x200.jpg	여행	유럽여행	0	이집트 홍해 후루가다 특급 리조트 2연박과 요르단 와디럼 사막 럭셔리 캠프 1박이 함께하는 럭셔리 여행
64343	[실속][EY]『황금빛 사막, 푸른 심연의 초대』 튀니지 완전 일주 10일	3490000	https://mntour.lottetour.com/evtList/604/1048/1050?godId=64343	https://mmntour.lottetour.com/evtList/604/1048/1050?godId=64343	https://dimgcdn.lottetour.com/TN/37/37cd25a55daa5ab2a0528649682dc284.tn.300x200.jpg	여행	유럽여행	0	지중해의 햇살과 고대 문명의 역사 속 매력을 만나는 튀니지 여행, 신비로운 사막 투어까지 즐기는 특별한 여정
56196	[품격][비즈니스/클래스][EK]『북아프리카의 푸른 보석』  튀니지 완전 일주 10일	10990000	https://mntour.lottetour.com/evtList/604/1048/1050?godId=56196	https://mmntour.lottetour.com/evtList/604/1048/1050?godId=56196	https://dimgcdn.lottetour.com/TN/b3/b3a1c38051f283e19cd956fb4a2c2077.tn.300x200.jpg	여행	유럽여행	0	에미레이트 항공 전 구간 비즈니스 클래스 탑승, 사하라 사막 프리미엄 리조트 2연박과 북아프리카의 산토리니 시디 부 사이드까지! 편안하고 완벽한 올 겨울 최고의 튀니지 여행
64779	[정통][KE/OZ]『문명의 교차로, 유라시아의 숨결을 따라서』  튀르키예 완전일주 9일	4390000	https://mntour.lottetour.com/evtList/604/886/889?godId=64779	https://mmntour.lottetour.com/evtList/604/886/889?godId=64779	https://dimgcdn.lottetour.com/TN/95/95654461df7b99eb3c3142a3b529522c.tn.300x200.jpg	여행	유럽여행	0	국내선 항공이동 2회 & 이스탄불 2연박 포함 전 일정 특급호텔 숙박! 필수 관광지 내부입장과 NO 쇼핑으로 보다 알차고 편안해진 국적기 튀르키예 일주
59226	[품격][비즈니스/클래스][TK]『Romance in Greece♥』  그리스 일주 10일 (산토리니③연박)	12390000	https://mntour.lottetour.com/evtList/604/886/2011?godId=59226	https://mmntour.lottetour.com/evtList/604/886/2011?godId=59226	https://dimgcdn.lottetour.com/TN/ed/ed9738a1ad6e225fc89e5031b8bf82bc.tn.300x200.jpg	여행	유럽여행	0	비즈니스 클래스 탑승으로 더욱 편안하게!  산토리니 특급호텔 3연박으로 더욱 로맨틱하게!  현지 항공이동 2회 포함으로 일정은 더욱 여유롭게!
65441	[정통][비즈니스/클래스][TK]『신화의 숨결과 지중해의 찬란함이 만나는 곳』  그리스 일주 10일	9390000	https://mntour.lottetour.com/evtList/604/886/2011?godId=65441	https://mmntour.lottetour.com/evtList/604/886/2011?godId=65441	https://dimgcdn.lottetour.com/TN/1b/1b86ead78f82d8bf3b84e83b5bd053bd.tn.300x200.jpg	여행	유럽여행	0	비즈니스 클래스 탑승으로 편안한 여행의 시작! 산토리니 2연박으로 여유로운 일정과 더불어 아기자기한 소도시들까지, 최적의 동선으로 그리스를 즐기는 일정
63066	[품격][비즈니스/클래스][LH]『가우디와 대항해 시대의 낭만을 따라』 스페인 & 포르투갈 10일	14590000	https://mntour.lottetour.com/evtList/604/886/2012?godId=63066	https://mmntour.lottetour.com/evtList/604/886/2012?godId=63066	https://dimgcdn.lottetour.com/TN/2f/2f47ff833035591c199a2b54a3c2f758.tn.300x200.jpg	여행	유럽여행	0	비즈니스 클래스 탑승과 핵심도시 2연박으로 여행을 더욱 편안하게 스페인부터 포르투갈까지 완벽 동선으로 전일 5성급 호텔 숙박과 미슐랭 식사까지 여행을 품격있게 즐길 수 있는 상품
64601	[정통][비즈니스/클래스][TW]『가우디와 함께 걷는 이베리아의 낭만』  스페인 & 포르투갈 9일	7990000	https://mntour.lottetour.com/evtList/604/886/2012?godId=64601	https://mmntour.lottetour.com/evtList/604/886/2012?godId=64601	https://dimgcdn.lottetour.com/TN/43/43f3e7d114ad478eafb064197f1d1056.tn.300x200.jpg	여행	유럽여행	0	티웨이 비즈니스 탑승과 현지 중간항공 이동을 통한 편안하고 볼거리 가득한 스페인 & 포르투갈 여행
60773	[실속][KE]『이베리아 반도에서 가우디를 만나다』 스페인 & 포르투갈 10일	3990000	https://mntour.lottetour.com/evtList/604/886/2012?godId=60773	https://mmntour.lottetour.com/evtList/604/886/2012?godId=60773	https://dimgcdn.lottetour.com/TN/6e/6ef02f6f920b362472cae37bb1d763d8.tn.300x200.jpg	여행	유럽여행	0	대한항공 직항 및 특급호텔 1박 업그레이드로 가성비 있는 이베리아반도 여행
62549	[정통][KE]『신의 물방울, 달콤한 포트와인의 향기를 따라서』  포르투갈 일주 9일	4490000	https://mntour.lottetour.com/evtList/604/886/2012?godId=62549	https://mmntour.lottetour.com/evtList/604/886/2012?godId=62549	https://dimgcdn.lottetour.com/TN/55/5508ddf17a93da55f74d2ba1e9b3cea9.tn.300x200.jpg	여행	유럽여행	0	유럽 최서단의 지중해 대표 여행지 포르투갈을 한 번에! 대한항공 직항 탑승 및 포르투 5성특급호텔 2연박까지! 역사와 자연 그리고 미식이 조화를 이루는 상품
60406	[정통][OZ]『카탈루냐의 옛 자취에 빠져들다』 스페인 일주 9일	4490000	https://mntour.lottetour.com/evtList/604/886/2012?godId=60406	https://mmntour.lottetour.com/evtList/604/886/2012?godId=60406	https://dimgcdn.lottetour.com/TN/ec/ec9d8757bfdca04dcbc89e60effe0a47.tn.300x200.jpg	여행	유럽여행	0	아시아나 바르셀로나 왕복 직항으로 떠나는 스페인 여행! 스페인의 핵심 도시와 유명 관광지를 여유롭게 둘러보는 여행!
64542	[품격][비즈니스/클래스][UL]『황금빛 찻잎이 전하는 세이론의 향기』 스리랑카 완전 일주 8일	6290000	https://mntour.lottetour.com/evtList/604/3066/3570?godId=64542	https://mmntour.lottetour.com/evtList/604/3066/3570?godId=64542	https://dimgcdn.lottetour.com/TN/e2/e2c4b0cd230ad0e846689eb35ea57af7.tn.300x200.jpg	여행	유럽여행	0	비지니스탑승으로 편안함을 더하고, 얄라국립공원 사파리 투어에서 야생의 신비를 경험하며, 티 수확 체험 및 팩토리 투어로 스리랑카의 차 문화를 체험할 수 있는 상품
61270	[품격][전구간/비즈니스/클래스][EK]『피오르의 명작, 자연의 예술이 펼쳐지다』 북유럽 4개국 11일	13590000	https://mntour.lottetour.com/evtList/604/881/1042?godId=61270	https://mmntour.lottetour.com/evtList/604/881/1042?godId=61270	https://dimgcdn.lottetour.com/TN/06/064540c95e3b83d5bdde6bb491f9e82f.tn.300x200.jpg	여행	유럽여행	0	#전구간 비즈니스 #항공이동 1회 #피오르속호텔 2회 #4大피오르 #로엔 스카이리프트 #NO쇼핑&NO옵션
58561	[품격][비즈니스/클래스][SK]『노르웨이 숨은 비경, 피오르에 스며든 백야의 선물』 북유럽 3개국 10일	12490000	https://mntour.lottetour.com/evtList/604/881/1042?godId=58561	https://mmntour.lottetour.com/evtList/604/881/1042?godId=58561	https://dimgcdn.lottetour.com/TN/12/125afaf4d152ff109c04eaf0933d7b86.tn.300x200.jpg	여행	유럽여행	0	▶북유럽으로 가는 직항 스칸디나비아 항공 ▶북유럽 3개국을 한 번에 여행하며 노르웨이 4대 피오르와 프레케스톨렌 하이킹까지 모두 즐길 수 있는 고품격 일정
58335	[정통][AY]『와라!보라!오로라!』 아이슬란드 일주 8일	7190000	https://mntour.lottetour.com/evtList/604/881/1042?godId=58335	https://mmntour.lottetour.com/evtList/604/881/1042?godId=58335	https://dimgcdn.lottetour.com/TN/c8/c88f145b2505f8a7c2691a7f5c9926cc.tn.300x200.jpg	여행	유럽여행	0	"블루라군 & 스카이라군 스파, 오로라 헌팅 3회 + 뷰잉 1회 포함 (타사비교必), 옵션과 쇼핑 없이 오직 자연을 만끽하는 특별한 여행."
61009	[정통][AY]★창립 55주년 스페셜★[북유럽으로 가는 가장 빠른 직항 핀에어 A350탑승!] 북유럽 4개국+탈린 10일	4590000	https://mntour.lottetour.com/evtList/604/881/1042?godId=61009	https://mmntour.lottetour.com/evtList/604/881/1042?godId=61009	https://dimgcdn.lottetour.com/TN/7a/7a516cd2b352b69261201a7ca624491d.tn.300x200.jpg	여행	유럽여행	0	3대 피오르 관광! 크루즈 2회 탑승! 행복지수 1위 도시 코펜하겐부터 아름다운 중세도시 탈린까지 북유럽을 정복하는 여행
62290	[실속][AY]『북극권 완전정복!』 노르웨이 일주 8일	5490000	https://mntour.lottetour.com/evtList/604/881/1042?godId=62290	https://mmntour.lottetour.com/evtList/604/881/1042?godId=62290	https://dimgcdn.lottetour.com/TN/8a/8a53bbffc8098a08a7ddbf6447b0f7ec.tn.300x200.jpg	여행	유럽여행	0	"산타우체국,스톡홀름 시청사, 로포텐제도, 북극권박물관, 북극대성당, 피엘하이슨 로프웨이까지, 겨울왕국을 그대로 느끼는 노르웨이 여행! 쇼핑과 옵션은 빼고 오직 순수한 여행만."
62202	[실속][AY]『유리 밖은 오로라!』 핀란드 일주 8일	5990000	https://mntour.lottetour.com/evtList/604/881/1042?godId=62202	https://mmntour.lottetour.com/evtList/604/881/1042?godId=62202	https://dimgcdn.lottetour.com/TN/8d/8d76fcdce52c9786921de931576b0000.tn.300x200.jpg	여행	유럽여행	0	"오로라 헌팅, 유리글라스 1박, 허스키 썰매, VR 열차 체험, 산타클로스 테마파크까지! 자유시간과 함께하는 특별한 겨울 여행, 쇼핑과 옵션은 NO!"
60023	[정통][KE]『프로메테우스 신화가 깃든 천상의 화원』 코카서스3개국+두바이 10일	4690000	https://mntour.lottetour.com/evtList/604/890/892?godId=60023	https://mmntour.lottetour.com/evtList/604/890/892?godId=60023	https://dimgcdn.lottetour.com/TN/ba/ba04b4b63bd8ba5019e7f240ffa4592e.tn.300x200.jpg	여행	유럽여행	0	#No 쇼핑 #조지아 #아르메니아 #아제르바이잔 #두바이
61076	[품격][비즈니스/클래스][EK]『신과 인간의 경계, 카즈베기를 마주하다!』 코카서스 3개국 10일	9690000	https://mntour.lottetour.com/evtList/604/890/892?godId=61076	https://mmntour.lottetour.com/evtList/604/890/892?godId=61076	https://dimgcdn.lottetour.com/TN/bd/bd153373f5d9501549a198ba4420c334.tn.300x200.jpg	여행	유럽여행	0	시간이 멈춘 듯 아룸다운 카즈베기 산 전경을 한눈에 담을 수 있는 ROOMS 호텔에서의 특별한 하룻밤을 선사해 드립니다.
65291	[정통][비즈니스/클래스][KC]『실크로드의 심장, 티무르 제국의 번영을 마주하다.』 중앙아시아 3개국 10일	7390000	https://mntour.lottetour.com/evtList/604/890/3829?godId=65291	https://mmntour.lottetour.com/evtList/604/890/3829?godId=65291	https://dimgcdn.lottetour.com/TN/b4/b45b1c60aaa129ad13d068c87d666a46.tn.300x200.JPG	여행	유럽여행	0	비즈니스 클래스로 만나는 동서양의 문명 교착지 실크로드, 중앙아시아 3개국의 찬란한 과거와 아름다운 자연을 함께 즐길 수 있는 프리미엄 여행
65518	[정통][비즈니스/클래스][LH]『다뉴브 강에 비친 낭만의 불빛』 동유럽 4개국 10일	9190000	https://mntour.lottetour.com/evtList/604/616/921?godId=65518	https://mmntour.lottetour.com/evtList/604/616/921?godId=65518	https://dimgcdn.lottetour.com/TN/db/dbe642054adff9a96dc33d41bd549602.tn.300x200.jpg	여행	유럽여행	0	프라하 3연박 + 자유시간 제공! 전 일정 4성 호텔로 가성비와 가심비를 모두 챙기는 여행
65461	[정통][비즈니스/클래스][TK]『푸른 바다와 고대 성벽에 남은 이야기』  발칸 4개국 10일	8590000	https://mntour.lottetour.com/evtList/604/616/831?godId=65461	https://mmntour.lottetour.com/evtList/604/616/831?godId=65461	https://dimgcdn.lottetour.com/TN/20/20ad4a468f27668172285329570b8379.tn.300x200.jpg	여행	유럽여행	0	발칸반도 구석구석 숨겨진 매력에 반하다! 완벽한 크로아티아 일주에 소도시까지! (보스니아: 모스타르, 메주고리예 / 몬테네그로: 코토르, 포드고리차)
62860	[품격][비즈니스/클래스][LH]『모차르트의 선율, 베토벤의 열정이 담긴』 동유럽 3개국 완전 일주 10일	11690000	https://mntour.lottetour.com/evtList/604/616/921?godId=62860	https://mmntour.lottetour.com/evtList/604/616/921?godId=62860	https://dimgcdn.lottetour.com/TN/f7/f77bb090b1cd27c60e77c88f7f5b6916.tn.300x200.jpg	여행	유럽여행	0	월드체인 특급 호텔 부다페스트2박+비엔나2박+프라하2박 진행 여유 만끽 동유럽 여행
51568	[정통][KE][NO옵션&NO쇼핑]『아드리아海의 보석』 크로아티아 일주+슬로베니아 9일	4890000	https://mntour.lottetour.com/evtList/604/616/831?godId=51568	https://mmntour.lottetour.com/evtList/604/616/831?godId=51568	https://dimgcdn.lottetour.com/TN/76/76f52967736cc2c567070444d4d1bf2c.tn.300x200.jpg	여행	유럽여행	0	대한항공 탑승 버나드 쇼가 반한 두브로브니크에서 특급 호텔 2연박
65743	[정통][OZ]『다뉴브의 왈츠와 아드리아의 푸른 낭만을 따라서』 동유럽+발칸 5개국 9일	2990000	https://mntour.lottetour.com/evtList/604/616/831?godId=65743	https://mmntour.lottetour.com/evtList/604/616/831?godId=65743	https://dimgcdn.lottetour.com/TN/19/19ead0e534884e47718bc60554071de4.tn.300x200.jpg	여행	유럽여행	0	프라하 IN - 부다페스트 OUT!  황금동선으로 만나는 제국의 품격과 동화 같은 자연의 하모니
57354	[정통][KE]『낮보다 아름다운 동유럽의 밤』 동유럽 4개국 9일	3190000	https://mntour.lottetour.com/evtList/604/616/921?godId=57354	https://mmntour.lottetour.com/evtList/604/616/921?godId=57354	https://dimgcdn.lottetour.com/TN/a0/a0eff848e437cc9757802e85390ee494.tn.300x200.jpg	여행	유럽여행	0	대한항공 직항▶ 프라하 2연박! 전 일정 4성 호텔로 Upgrade 가성비와 가심비를 모두 챙기는 여행
